year,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
1976,Ireland,Red Hurley,When,10,,7,,10,54,,,,,,
1976,Finland,Fredi and The Friends,Pump-pump,11,,11,,11,44,,,,,,
1976,Portugal,Carlos do Carmo,Uma Flor De Verde Pinho,12,,15,,12,24,,,,,,
1976,Greece,Mariza Koch,"Panaghia Mou, Panaghia Mou",13,,10,,13,20,,,,,,
1976,Luxembourg,Jürgen Marcus,Chansons Pour Ceux Qui S'aiment,14,,5,,14,17,,,,,,
1976,Germany,Les Humphries Singers,"Sing, Sang, Song",15,,3,,15,12,,,,,,
1976,Spain,Braulio,Sobran Las Palabras,16,,12,,16,11,,,,,,
1976,Yugoslavia,Ambasadori,Ne Mogu Skriti Svoju Bol,17,,18,,17,10,,,,,,
1976,Norway,Anne-Karine Ström,Mata Hari,18,,9,,18,7,,,,,,
1977,France,Marie Myriam,L'oiseau Et L'enfant,1,,18,,1,136,,,,,,
1977,United Kingdom,Lynsey de Paul and Mike Moran,Rock Bottom,2,,9,,2,121,,,,,,
1977,Ireland,The Swarbriggs Plus Two,It's Nice To Be In Love Again,3,,1,,3,119,,,,,,
1977,Monaco,Michèle Torr,Une Petite Française,4,,2,,4,96,,,,,,
1977,Greece,"Pascalis, Marianna, Robert and Bessy",Mathima Solfez,5,,10,,5,92,,,,,,
1977,Switzerland,Pepe Lienhard Band,Swiss Lady,6,,12,,6,71,,,,,,
1977,Belgium,Dream Express,"A Million In One, Two, Three",7,,17,,7,69,,,,,,
1977,Germany,Silver Convention,Telegram,8,,6,,8,55,,,,,,
1977,Spain,Micky,Enseñame A Cantar,9,,14,,9,52,,,,,,
1977,Finland,Monica Aspelund,Lapponia,10,,16,,10,50,,,,,,
1977,Israel,Ilanit,Ah-haa-vah Hee Shir Lish-naa-yim,11,,11,,11,49,,,,,,
1977,Netherlands,Heddy Lester,De Mallemolen,12,,3,,12,35,,,,,,
1977,Italy,Mia Martini,Liberà,13,,15,,13,33,,,,,,
1977,Norway,Anita Skorgan,Casanova,14,,5,,14,18,,,,,,
1977,Portugal,Os Amigos,Portugal No Coração,14,,8,,14,18,,,,,,
1977,Luxembourg,Anne Marie B.,Frère Jacques,16,,7,,16,17,,,,,,
1977,Austria,Schmetterlinge,Boom Boom Boomerang,17,,4,,17,11,,,,,,
1977,Sweden,Forbes,Beatles,18,,13,,18,2,,,,,,
1978,Israel,Izhar Cohen and the Alphabeta,A-Ba-Ni-Bi,1,,18,,1,157,,,,,,
1978,Belgium,Jean Vallée,L'amour ça Fait Chanter La Vie,2,,10,,2,125,,,,,,
1978,France,Joël Prévost,Il Y Aura Toujours Des Violons,3,,6,,3,119,,,,,,
1978,Monaco,Caline and Olivier Toussaint,Les Jardins De Monaco,4,,14,,4,107,,,,,,
1978,Ireland,Colm T. Wilkinson,Born To Sing,5,,1,,5,86,,,,,,
1978,Germany,Ireen Sheer,Feuer,6,,13,,6,84,,,,,,
1978,Luxembourg,Baccara,Parlez-vous Français?,7,,17,,7,73,,,,,,
1978,Greece,Tania Tsanaklidou,Charlie Chaplin,8,,15,,8,66,,,,,,
1978,Spain,José Vélez,Bailemos Un Vals,9,,7,,9,65,,,,,,
1978,Switzerland,Carole Vinci,Vivre,9,,9,,9,65,,,,,,
1978,United Kingdom,Co-Co,The Bad Old Days,11,,8,,11,61,,,,,,
1978,Italy,Ricchi e Poveri,Questo Amore,12,,3,,12,53,,,,,,
1978,Netherlands,Harmony,'t Is Ok,13,,11,,13,37,,,,,,
1978,Sweden,Björn Skifs,Det Blir Alltid Värre Framåt Natten,14,,20,,14,26,,,,,,
1978,Austria,Springtime,Mrs. Caroline Robinson,15,,19,,15,14,,,,,,
1978,Denmark,Mabel,Boom Boom,16,,16,,16,13,,,,,,
1978,Portugal,Gemini,Dai-li-dou,17,,5,,17,5,,,,,,
1978,Finland,Seija Simola,Anna Rakkaudelle Tilaisuus,18,,4,,18,2,,,,,,
1978,Turkey,Nazar,Sevince,18,,12,,18,2,,,,,,
1978,Norway,Jahn Teigen,Mil Etter Mil,20,,2,,20,0,,,,,,
1979,Israel,Milk and Honey,Hallelujah,1,,10,,1,125,,,,,,
1979,Spain,Betty Missiego,Su Canción,2,,19,,2,116,,,,,,
1979,France,Anne-Marie David,Je Suis L'enfant-soleil,3,,11,,3,106,,,,,,
1979,Germany,Dschinghis Khan,,4,,9,,4,86,,,,,,
1979,Ireland,Cathal Dunne,Happy Man,5,,4,,5,80,,,,,,
1979,Denmark,Tommy Seebach,Disco Tango,6,,3,,6,76,,,,,,
1979,United Kingdom,Black Lace,Mary Ann,7,,17,,7,73,,,,,,
1979,Greece,Elpida,Socrati,8,,7,,8,69,,,,,,
1979,Portugal,Manuela Bravo,"Sobe, Sobe, Balão Sobe",9,,1,,9,64,,,,,,
1979,Switzerland,"Peter, Sue and Marc and Pfuri, Gorps and Kniri",Trödler Und Co.,10,,8,,10,60,,,,,,
1979,Norway,Anita Skorgan,Oliver,11,,16,,11,57,,,,,,
1979,Netherlands,Xandra,Colorado,12,,14,,12,51,,,,,,
1979,Luxembourg,Jeane Manson,J'ai Déjà Vu ça Dans Tes Yeux,13,,13,,13,44,,,,,,
1979,Finland,Katri-Helena,Katson Sineen Taivaan,14,,5,,14,38,,,,,,
1979,Italy,Matia Bazar,Raggio Di Luna,15,,2,,15,27,,,,,,
1979,Monaco,Laurent Vaguener,"Notre Vie, C'est La Musique",16,,6,,16,12,,,,,,
1979,Sweden,Ted Gärdestad,Satellit,17,,15,,17,8,,,,,,
1979,Belgium,Micha Marah,Hey Nana,18,,12,,18,5,,,,,,
1979,Austria,Christina Simon,Heute In Jerusalem,18,,18,,18,5,,,,,,
1980,Ireland,Johnny Logan,What's Another Year,1,,17,,1,143,,,,,,
1980,Germany,Katja Ebstein,Theater,2,,12,,2,128,,,,,,
1980,United Kingdom,Prima Donna,Love Enough For Two,3,,13,,3,106,,,,,,
1980,Switzerland,Paola,Cinéma,4,,9,,4,104,,,,,,
1980,Netherlands,Maggie MacNeal,Amsterdam,5,,15,,5,93,,,,,,
1980,Italy,Alan Sorrenti,Non So Che Darei,6,,6,,6,87,,,,,,
1980,Portugal,José Cid,"Um Grande, Grande Amor",7,,14,,7,71,,,,,,
1980,Austria,Blue Danube,Du Bist Musik,8,,1,,8,64,,,,,,
1980,Luxembourg,Sophie and Magaly,Papa Pingouin,9,,4,,9,56,,,,,,
1980,Sweden,Tomas Ledin,Just Nu!,10,,8,,10,47,,,,,,
1980,France,Profil,"Hé, Hé M'sieurs Dames",11,,16,,11,45,,,,,,
1980,Spain,Trigo Limpio,Quédate Esta Noche,12,,18,,12,38,,,,,,
1980,Greece,Anna Vissi and the Epikouri,Otostop,13,,3,,13,30,,,,,,
1980,Denmark,Bamses Venner,Tænker Altid På Dig,14,,7,,14,25,,,,,,
1980,Turkey,Ajda Pekkan,Petr'oil,15,,2,,15,23,,,,,,
1980,Norway,Sverre Kjellsberg & Mattis Hætta,Sámiid Ædnan,16,,11,,16,15,,,,,,
1980,Belgium,Telex,Euro-vision,17,,19,,17,14,,,,,,
1980,Morocco,Samira Bensaïd,Bitakat Hob,18,,5,,18,7,,,,,,
1980,Finland,Vesa-Matti Loiri,Huilumies,19,,10,,19,6,,,,,,
1981,United Kingdom,Bucks Fizz,Making Your Mind Up,1,,14,,1,136,,,,,,
1981,Germany,Lena Valaitis,Johnny Blue,2,,3,,2,132,,,,,,
1981,France,Jean Gabilou,Humanahum,3,,9,,3,125,,,,,,
1981,Switzerland,"Peter, Sue and Marc",Io Senza Tei,4,,19,,4,121,,,,,,
1981,Ireland,Sheeba,Horoscopes,5,,12,,5,105,,,,,,
1981,Cyprus,Island,Monika,6,,18,,6,69,,,,,,
1981,Israel,Habibi,Halaylah,7,,5,,7,56,,,,,,
1981,Greece,Yiannis Dimitras,Feggari Kalokerino,8,,17,,8,55,,,,,,
1981,Netherlands,Linda Williams,Het Is Een Wonder,9,,11,,9,51,,,,,,
1981,Sweden,Björn Skifs,Fångad I En Dröm,10,,20,,10,50,,,,,,
1981,Luxembourg,Jean-Claude Pascal,C'est Peut-être Pas L'Amérique,11,,4,,11,41,,,,,,
1981,Denmark,Debbie Cameron and Tommy Seebach,Krøller Eller Ej,11,,6,,11,41,,,,,,
1981,Belgium,Emly Starr,Samson,13,,16,,13,40,,,,,,
1981,Spain,Bacchelli,Y Solo Tú,14,,10,,14,38,,,,,,
1981,Yugoslavia,Seid-Memic Vajta,Leila,15,,7,,15,35,,,,,,
1981,Finland,Riki Sorsa,Reggae O.k.,16,,8,,16,27,,,,,,
1981,Austria,Marty Brem,Wenn Du Da Bist,17,,1,,17,20,,,,,,
1981,Turkey,Modern Folk Trio and Aysegül,Dönme Dolap,18,,2,,18,9,,,,,,
1981,Portugal,Carlos Paião,Play-back,18,,15,,18,9,,,,,,
1981,Norway,Finn Kalvik,Aldri i Livet,20,,13,,20,0,,,,,,
1982,Germany,Nicole,Ein Bißchen Frieden,1,,18,,1,161,,,,,,
1982,Israel,Avi Toledano,Hora,2,,15,,2,100,,,,,,
1982,Switzerland,Arlette Zola,Amour On T'aime,3,,7,,3,97,,,,,,
1982,Belgium,Stella,Si Tu Aimes Ma Musique,4,,11,,4,96,,,,,,
1982,Cyprus,Anna Vissi,Mono I Agapi,5,,8,,5,85,,,,,,
1982,Luxembourg,Svetlana,Cour Apres Le Temps,6,,2,,6,78,,,,,,
1982,United Kingdom,Bardo,One Step Further,7,,4,,7,76,,,,,,
1982,Sweden,Chips,Dag Efter Dag,8,,9,,8,67,,,,,,
1982,Austria,Mess,Sonntag,9,,10,,9,57,,,,,,
1982,Spain,Lucía,Él,10,,12,,10,52,,,,,,
1982,Ireland,The Duskeys,"Here Today, Gone Tomorrow",11,,17,,11,49,,,,,,
1982,Norway,Jahn Teigen & Anita Skorgan,Adieu,12,,3,,12,40,,,,,,
1982,Portugal,Doce,Bem-bom,13,,1,,13,32,,,,,,
1982,Yugoslavia,Aska,Halo Halo,14,,14,,14,21,,,,,,
1982,Turkey,Neço,Hani,15,,5,,15,20,,,,,,
1982,Netherlands,Bill van Dijk,Jij En Ik,16,,16,,16,8,,,,,,
1982,Denmark,Brixx,Video-video,17,,13,,17,5,,,,,,
1982,Finland,Kojo,Nuku Pommiin,18,,6,,18,0,,,,,,
1983,Luxembourg,Corinne Hermès,Si La Vie Est Cadeau,1,,20,,1,142,,,,,,
1983,Israel,Ofra Haza,Hi,2,,16,,2,136,,,,,,
1983,Sweden,Carola Häggkvist,Främling,3,,4,,3,126,,,,,,
1983,Yugoslavia,Danijel,Dzuli,4,,12,,4,125,,,,,,
1983,Germany,Hoffmann und Hoffmann,Rücksicht,5,,14,,5,94,,,,,,
1983,United Kingdom,Sweet Dreams,I'm Never Giving Up,6,,3,,6,79,,,,,,
1983,Netherlands,Bernadette,Sing Me A Song,7,,11,,7,66,,,,,,
1983,France,Guy Bonnet,Vivre,8,,1,,8,56,,,,,,
1983,Norway,Jahn Teigen,Do Re Mi,9,,2,,9,53,,,,,,
1983,Austria,Westend,Hurricane,9,,18,,9,53,,,,,,
1983,Italy,Riccardo Fogli,Per Lucia,11,,5,,11,41,,,,,,
1983,Finland,Ami Aspelund,Fantasiaa,11,,9,,11,41,,,,,,
1983,Portugal,Armando Gama,Esta Balada Que Te Dou,13,,17,,13,33,,,,,,
1983,Greece,Christie Stassinopoulou,Mou Les,14,,10,,14,32,,,,,,
1983,Switzerland,Mariella Farré,Io Così Non Ci Sto,15,,8,,15,28,,,,,,
1983,Cyprus,Stavros and Constantina,I Agapi Akoma Zi,16,,13,,16,26,,,,,,
1983,Denmark,Gry Johansen,Kloden Drejer,17,,15,,17,16,,,,,,
1983,Belgium,Pas de Deux,Rendez-vous,18,,19,,18,13,,,,,,
1983,Turkey,Çetin Alp and the Short Wave,Opera,19,,6,,19,0,,,,,,
1983,Spain,Remedios Amaya,¿Quién Maneja Mi Barca?,19,,7,,19,0,,,,,,
1984,Sweden,Herrey's,Diggi-loo Diggy-ley,1,,1,,1,145,,,,,,
1984,Ireland,Linda Martin,Terminal '3',2,,9,,2,137,,,,,,
1984,Spain,Bravo,"Lady, Lady",3,,4,,3,106,,,,,,
1984,Denmark,Hot Eyes,Det' Lige Det,4,,10,,4,101,,,,,,
1984,Belgium,Jacques Zegers,Avanti La Vie,5,,8,,5,70,,,,,,
1984,Italy,Alice and Battiato,I Treni Di Tozeur,5,,18,,5,70,,,,,,
1984,United Kingdom,Belle and the Devotions,Love Games,7,,6,,7,63,,,,,,
1984,France,Annick Thoumazeau,Autant D'amoureux Que D'étoiles,8,,3,,8,61,,,,,,
1984,Finland,Kirka,Hengaillaan,9,,16,,9,46,,,,,,
1984,Luxembourg,Sophie Carle,100% D'amour,10,,2,,10,39,,,,,,
1984,Portugal,Maria Guinot,Silêncio E Tanta Gente,11,,19,,11,38,,,,,,
1984,Turkey,"Bes Yil Önce, On Yil Sonra",Halay,12,,15,,12,37,,,,,,
1984,Netherlands,Maribelle,Ik Hou Van Jou,13,,11,,13,34,,,,,,
1984,Germany,Mary Roos,Aufrecht Geh'n,13,,14,,13,34,,,,,,
1984,Cyprus,Andy Paul,Anna Maria Lena,15,,7,,15,31,,,,,,
1984,Switzerland,Rainy Day,Welche Farbe Hat Der Sonnenschein,16,,17,,16,30,,,,,,
1984,Norway,Dollie de Luxe,Lenge Leve Livet,17,,5,,17,29,,,,,,
1984,Yugoslavia,Vlado and Isolda,Ciao Amore,18,,12,,18,26,,,,,,
1984,Austria,Anita,Einfach Weg,19,,13,,19,5,,,,,,
1985,Norway,Bobbysocks,La Det Swinge,1,,13,,1,123,,,,,,
1985,Germany,Wind,Für Alle,2,,10,,2,105,,,,,,
1985,Sweden,Kikki Danielsson,Bra Vibrationer,3,,16,,3,103,,,,,,
1985,United Kingdom,Vikki,Love Is...,4,,14,,4,100,,,,,,
1985,Israel,Izhar Cohen,Olé Olé,5,,11,,5,93,,,,,,
1985,Ireland,Maria Christian,Wait Until The Weekend Comes,6,,1,,6,91,,,,,,
1985,Italy,Al Bano and Romina Power,"Magic, Oh Magic",7,,12,,7,78,,,,,,
1985,Austria,Gary Lux,Kinder Dieser Welt,8,,17,,8,60,,,,,,
1985,Finland,Sonja Lumme,Eläköön Elämä,9,,2,,9,58,,,,,,
1985,France,Roger Bens,Femme Dans Ses Rêves Aussi,10,,6,,10,56,,,,,,
1985,Denmark,Hot Eyes,Sku' Du Spør Fra No'n,11,,4,,11,41,,,,,,
1985,Switzerland,Mariella Farré and Pino Gasparini,Piano Piano,12,,15,,12,39,,,,,,
1985,Luxembourg,"Margo, Franck, Diane, Ireen, Malcolm & Chris","Children, Kinder, Enfants",13,,18,,13,37,,,,,,
1985,Spain,Paloma San Basilio,La Fiesta Terminó,14,,5,,14,36,,,,,,
1985,Turkey,MFÖ,Di Dai Di Dai Dai (Aşık oldum),14,,7,,14,36,,,,,,
1985,Cyprus,Lia Vishy,To Katalava Arga,16,,3,,16,15,,,,,,
1985,Greece,Takis Biniaris,Miazoume,16,,19,,16,15,,,,,,
1985,Portugal,Adelaïde,"Penso Em Ti, Eu Sei",18,,9,,18,9,,,,,,
1985,Belgium,Linda Lepomme,Laat Me Nu Gaan,19,,8,,19,7,,,,,,
1986,Belgium,Sandra Kim,J'aime La Vie,1,,13,,1,176,,,,,,
1986,Switzerland,Daniela Simons,Pas Pour Moi,2,,10,,2,140,,,,,,
1986,Luxembourg,Sherisse Laurence,L'amour De Ma Vie,3,,1,,3,117,,,,,,
1986,Ireland,Luv Bug,You Can Count On Me,4,,12,,4,96,,,,,,
1986,Sweden,Lasse Holm & Monica Törnell,E' De' Det Här Du Kallar Kärlek,5,,17,,5,78,,,,,,
1986,Denmark,Lise Haavik and Trax,Du Er Fuld Af Løgn,6,,18,,6,77,,,,,,
1986,United Kingdom,Ryder,Runner In The Night,7,,5,,7,72,,,,,,
1986,Germany,Ingrid Peters,Über Die Brücke Geh'n,8,,14,,8,62,,,,,,
1986,Turkey,Klips ve Onlar,Halley,9,,8,,9,53,,,,,,
1986,Spain,Cadillac,Valentino,10,,9,,10,51,,,,,,
1986,Yugoslavia,Doris Dragović,Željo Moja,11,,2,,11,49,,,,,,
1986,Norway,Ketil Stokkan,Romeo,12,,4,,12,44,,,,,,
1986,Netherlands,Frizzle Sizzle,Alles Heeft Ritme,13,,7,,13,40,,,,,,
1986,Portugal,Dora,Não Sejas Mau Para Mim,14,,20,,14,28,,,,,,
1986,Finland,Kari Kuivalainen,Päivä Kahden Ihmisen,15,,19,,15,22,,,,,,
1986,Iceland,Icy,Gleðibankinn,16,,6,,16,19,,,,,,
1986,France,Cocktail Chic,Européennes,17,,3,,17,13,,,,,,
1986,Austria,Timna Brauer,Die Zeit Ist Einsam,18,,16,,18,12,,,,,,
1986,Israel,Moti Galadi and Sarai Tzuriel,Yavoh Yom,19,,11,,19,7,,,,,,
1986,Cyprus,Elpida,Tora Zo,20,,15,,20,4,,,,,,
1987,Ireland,Johnny Logan,Hold Me Now,1,,20,,1,172,,,,,,
1987,Germany,Wind,Laß Die Sonne In Dein Herz,2,,16,,2,141,,,,,,
1987,Italy,Umberto Tozzi and Raf,Gente Di Mare,3,,7,,3,103,,,,,,
1987,Yugoslavia,Novi Fosili,Ja Sam Za Ples,4,,21,,4,92,,,,,,
1987,Netherlands,Marcha,Rechtop In De Wind,5,,12,,5,83,,,,,,
1987,Denmark,Anne-Cathrine Herdorf,En Lille Melodi,5,,19,,5,83,,,,,,
1987,Cyprus,Alexia,Aspro Mavro,7,,17,,7,80,,,,,,
1987,Israel,Datner and Kushnir,Shir Habatlanim,8,,2,,8,73,,,,,,
1987,Norway,Kate Gulbrandsen,Mitt Liv,9,,1,,9,65,,,,,,
1987,Greece,Bang,Stop!,10,,11,,10,64,,,,,,
1987,Belgium,Liliane Saint-Pierre,Soldiers Of Love,11,,5,,11,56,,,,,,
1987,Sweden,Lotta Engberg,Boogaloo,12,,6,,12,50,,,,,,
1987,United Kingdom,Rikki,Only The Light,13,,14,,13,47,,,,,,
1987,France,Christine Minier,Les Mots D'amour N'ont Pas De Dimanche,14,,15,,14,44,,,,,,
1987,Finland,Vicky Rosti,Sata Salamaa,15,,18,,15,32,,,,,,
1987,Iceland,Halla Margarét,Hægt Og Hljótt,16,,4,,16,28,,,,,,
1987,Switzerland,Carole Rich,Moitié Moitié,17,,22,,17,26,,,,,,
1987,Portugal,Nevada,Neste Barco à Vela,18,,8,,18,15,,,,,,
1987,Spain,Patricia Kraus,No Estás Solo,19,,9,,19,10,,,,,,
1987,Austria,Gary Lux,Nur Noch Gefühl,20,,3,,20,8,,,,,,
1987,Luxembourg,Plastic Bertrand,Amour Amour,21,,13,,21,4,,,,,,
1987,Turkey,Seyyal Tanner & Lokomotif,Şarkım sevgi üstüne,22,,10,,22,0,,,,,,
1988,Switzerland,Céline Dion,Ne Partez Pas Sans Moi,1,,9,,1,137,,,,,,
1988,United Kingdom,Scott Fitzgerald,Go,2,,4,,2,136,,,,,,
1988,Denmark,Kirsten & Søren,Ka' Du Se Hva' Jeg Sa',3,,13,,3,92,,,,,,
1988,Luxembourg,Lara Fabian,Croire,4,,17,,4,90,,,,,,
1988,Norway,Karoline Krüger,For Vår Jord,5,,15,,5,88,,,,,,
1988,Yugoslavia,Srebrna Krila,Mangup,6,,21,,6,87,,,,,,
1988,Israel,Yardena Arazi,Ben Adam,7,,8,,7,85,,,,,,
1988,Ireland,Jump the Gun,Take Him Home,8,,10,,8,79,,,,,,
1988,Netherlands,Gerard Joling,Shangri-la,9,,7,,9,70,,,,,,
1988,France,Gérard Lenorman,Chanteur De Charme,10,,19,,10,64,,,,,,
1988,Spain,La Década,La Chica Que Yo Quiero (made In Spain),11,,6,,11,58,,,,,,
1988,Sweden,Tommy Körberg,Stad I Ljus,12,,2,,12,52,,,,,,
1988,Italy,Luca Barbarossa,Ti Scrivo,12,,18,,12,52,,,,,,
1988,Germany,Maxi and Chris Garden,Lied Für Einen Freund,14,,11,,14,48,,,,,,
1988,Turkey,MFÖ,Sufi,15,,5,,15,37,,,,,,
1988,Iceland,Beathoven,Sókrates,16,,1,,16,20,,,,,,
1988,Greece,Aphroditi Fryda,Kloun,17,,14,,17,10,,,,,,
1988,Belgium,Reynaert,Laissez Briller Le Soleil,18,,16,,18,5,,,,,,
1988,Portugal,Dora,Voltarei,18,,20,,18,5,,,,,,
1988,Finland,Boulevard,Nauravat Silmät Muistetaan,20,,3,,20,3,,,,,,
1988,Austria,Wilfried,Lisa Mona Lisa,21,,12,,21,0,,,,,,
1989,Yugoslavia,Riva,Rock Me,1,,22,,1,137,,,,,,
1989,United Kingdom,Live Report,Why Do I Always Get It Wrong,2,,7,,2,130,,,,,,
1989,Denmark,Birthe Kjær,Vi Maler Byen Rød,3,,12,,3,111,,,,,,
1989,Sweden,Tommy Nilsson,En Dag,4,,10,,4,110,,,,,,
1989,Austria,Thomas Forstner,Nur Ein Lied,5,,13,,5,97,,,,,,
1989,Spain,Nina,Nacida Para Amar,6,,16,,6,88,,,,,,
1989,Finland,Anneli Saaristo,La Dolce Vita,7,,14,,7,76,,,,,,
1989,France,Nathalie Pâque,J'ai Volé La Vie,8,,15,,8,60,,,,,,
1989,Italy,Anna Oxa and Fausto Leali,Avrei Voluto,9,,1,,9,56,,,,,,
1989,Greece,Marianna,To Diko Sou Asteri,9,,19,,9,56,,,,,,
1989,Cyprus,Fanny Polymeri and Yiannis Savvidakis,Apopse As Vrethoume,11,,17,,11,51,,,,,,
1989,Israel,Gili & Galit,Derech Ha'melech,12,,2,,12,50,,,,,,
1989,Switzerland,Furbaz,Viver Senza Tei,13,,18,,13,47,,,,,,
1989,Germany,Nino de Angelo,Flieger,14,,21,,14,46,,,,,,
1989,Netherlands,Justine Pelmelay,Blijf Zoals Je Bent,15,,4,,15,45,,,,,,
1989,Portugal,Da Vinci,Conquistador,16,,9,,16,39,,,,,,
1989,Norway,Britt Synnøve Johansen,Venners Nærhet,17,,8,,17,30,,,,,,
1989,Ireland,Kiev Connolly and the Missing Passengers,The Real Me,18,,3,,18,21,,,,,,
1989,Belgium,Ingeborg,Door De Wind,19,,6,,19,13,,,,,,
1989,Luxembourg,Park Café,Monsieur,20,,11,,20,8,,,,,,
1989,Turkey,Pan,Bana Bana,21,,5,,21,5,,,,,,
1989,Iceland,Daníel Augúst Haraldsson,Það Sem Enginn Sér,22,,20,,22,0,,,,,,
1990,Italy,Toto Cutugno,Insieme: 1992,1,,19,,1,149,,,,,,
1990,France,Joelle Ursull,White And Black Blues,2,,14,,2,132,,,,,,
1990,Ireland,Liam Reilly,Somewhere In Europe,2,,17,,2,132,,,,,,
1990,Iceland,Stjórnin,Eitt Lag Enn,4,,8,,4,124,,,,,,
1990,Spain,Azúcar Moreno,Bandido,5,,1,,5,96,,,,,,
1990,United Kingdom,Emma,Give A Little Love Back To The World,6,,7,,6,87,,,,,,
1990,Yugoslavia,Tajci,Hajde Da Ludujemo,7,,15,,7,81,,,,,,
1990,Denmark,Lonnie Devantier,Hallo Hallo,8,,11,,8,64,,,,,,
1990,Germany,Chris Kempers and Daniel Kovac,Frei Zu Leben,9,,13,,9,60,,,,,,
1990,Austria,Simone,Keine Mauern Mehr,10,,20,,10,58,,,,,,
1990,Switzerland,Egon Egemann,Musik Klingt In Die Welt Hinaus,11,,12,,11,51,,,,,,
1990,Belgium,Philippe Lafontaine,Macédomienne,12,,3,,12,46,,,,,,
1990,Luxembourg,Céline Carzo,Quand Je Te Rêve,13,,6,,13,38,,,,,,
1990,Cyprus,Haris Anastasiou,Milas Poli,14,,21,,14,36,,,,,,
1990,Netherlands,Maywood,Ik Wil Alles Met Je Delen,15,,5,,15,25,,,,,,
1990,Sweden,Edin-Ådahl,Som En Vind,16,,18,,16,24,,,,,,
1990,Turkey,Kayahan,Gözlerinin Hapsindeyim,17,,4,,17,21,,,,,,
1990,Israel,Rita,Shara Barechovot,18,,10,,18,16,,,,,,
1990,Greece,Christos Callow and Wave,Horis Skopo,19,,2,,19,11,,,,,,
1990,Portugal,Nucha,Há Sempre Alguém,20,,16,,20,9,,,,,,
1990,Norway,Ketil Stokkan,Brandenburger Tor,21,,9,,21,8,,,,,,
1990,Finland,Beat,Fri?,21,,22,,21,8,,,,,,
1991,Sweden,Carola,Fångad Av En Stormvind,1,,8,,1,146,,,,,,
1991,France,Amina,C'est Le Dernier Qui A Parlé Qui A Raison,2,,9,,2,146,,,,,,
1991,Israel,Duo Datz,Kan,3,,15,,3,139,,,,,,
1991,Spain,Sergio Dalma,Bailar Pegados,4,,19,,4,119,,,,,,
1991,Switzerland,Sandra Simò,Canzone Per Te,5,,5,,5,118,,,,,,
1991,Malta,Paul Giordimaina and Georgina,Could It Be,6,,3,,6,106,,,,,,
1991,Italy,Peppino di Capri,Comme E' Ddoce 'o Mare,7,,22,,7,89,,,,,,
1991,Portugal,Dulce,Lusitana Paixão,8,,12,,8,62,,,,,,
1991,Cyprus,Elena Patroclou,S.O.S.,9,,21,,9,60,,,,,,
1991,Ireland,Kim Jackson,Could It Be That I'm In Love,10,,11,,10,47,,,,,,
1991,United Kingdom,Samantha Janus,A Message To Your Heart,10,,20,,10,47,,,,,,
1991,Turkey,"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér",Iki Dakika,12,,10,,12,44,,,,,,
1991,Greece,Sofia Vossou,I Anixi,13,,4,,13,36,,,,,,
1991,Luxembourg,Sarah Bray,Un Baiser Volé,14,,7,,14,29,,,,,,
1991,Iceland,Stefán and Eyfi,Nina,15,,2,,15,26,,,,,,
1991,Belgium,Clouseau,Geef Het Op,16,,18,,16,23,,,,,,
1991,Norway,Just 4 Fun,Mrs. Thompson,17,,14,,17,14,,,,,,
1991,Germany,Atlantis 2000,Dieser Traum Darf Niemals Sterben,18,,17,,18,10,,,,,,
1991,Denmark,Anders Frandsen,Lige Der Hvor Hjertet Slår,19,,13,,19,8,,,,,,
1991,Finland,Kaija,Hullu Yö,20,,16,,20,6,,,,,,
1991,Yugoslavia,Baby Doll,Brazil,21,,1,,21,1,,,,,,
1991,Austria,Thomas Forstner,Venedig Im Regen,22,,6,,22,0,,,,,,
1992,Ireland,Linda Martin,Why Me,1,,17,,1,155,,,,,,
1992,United Kingdom,Michael Ball,One Step Out Of Time,2,,16,,2,139,,,,,,
1992,Malta,Mary Spiteri,Little Child,3,,10,,3,123,,,,,,
1992,Italy,Mia Martini,Rapsodia,4,,19,,4,111,,,,,,
1992,Greece,Cleopatra,Olou Tou Kosmou tin Elpida,5,,5,,5,94,,,,,,
1992,Israel,Dafna,Ze Rak Sport,6,,3,,6,85,,,,,,
1992,Iceland,Heart 2 Heart,Nei Eða Já,7,,11,,7,80,,,,,,
1992,France,Kali,Monté La Riviè,8,,6,,8,73,,,,,,
1992,Netherlands,Humphrey Campbell,Wijs Me De Weg,9,,23,,9,67,,,,,,
1992,Austria,Tony Wegas,Zusammen Geh'n,10,,15,,10,63,,,,,,
1992,Cyprus,Evridiki,Teriazoume,11,,9,,11,57,,,,,,
1992,Denmark,Kenny & Lotte,Alt Det Som Ingen Ser,12,,18,,12,47,,,,,,
1992,Yugoslavia,Extra Nena,Ljubim Te Pesmama,13,,20,,13,44,,,,,,
1992,Spain,Serafin,Todo Esto Es La Música,14,,1,,14,37,,,,,,
1992,Switzerland,Daisy Auvray,Mister Music Man,15,,13,,15,32,,,,,,
1992,Germany,Wind,Träume Sind Für Alle Da,16,,22,,16,27,,,,,,
1992,Portugal,Diná,Amor D'água Fresca,17,,8,,17,26,,,,,,
1992,Norway,Merethe Trøan,Visjoner,18,,21,,18,23,,,,,,
